Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
Operator Produksi,PT. LINTANG PERSADA,Tangerang,Rp4.750.000 – Rp5.500.000 per month,"Manufaktur, Transportasi & Logistik",Operator Mesin,,2024-03-12,Kontrak,Persyaratan:  Usia Min 18 TahunPendidikan SMA/K SederajatPengalaman/Non PengalamanSIap Kerj ShiftDapat Bekerja Secara Tim Maupun Individual  Kewajiban: 1. Briefing dan Mempersiapkan Material2. Mengoperasikan Mesin3. Setting Program Mesin Produksi4. Menjaga Produktivitas5. Menjaga Kualitas Produksi6. Memastikan Produk ke Proses Selanjutnya7. Memelihara Media Kerja8. Bekerja Sesuai Target9. Membuat Laporan Produksi,https://www.jobstreet.co.id/id/job/74369185?type=standout&ref=search-standalone
Packaging Development Unit Head,PT Mayora Indah Tbk,Jakarta Barat,,"Manufaktur, Transportasi & Logistik","Produksi, Perencanaan & Penjadwalan",,23 jam yang lalu,Full time,"Qualifications & experienceUsia minimal 25 tahunPendidikan minimal S1, dari semua jurusanMemiliki pengalaman kerja 2-3 tahun sebagai Packaging DevelopmentMemiliki loyalitas yang tinggi, kepemimpinan yang baik, keterampilan komunikasi yang baik, dan daya analisa yang baikMemiliki pemahaman yang mendetail dalam PackagingBersedia penempatan di Head Office, Jakarta BaratTasks & responsibilitiesMelakukan explorasi untuk produk baru/existing dengan memerhatikan kebutuhan produk yang dikemas dan proses packing di pabrik, serta memonitor aktivitas pengembangan kemasan sesuai dengan hasil explorasi agar berjalan tepat waktu.",https://www.jobstreet.co.id/id/job/74383391?type=standout&ref=search-standalone
Technical Executive (Electrical Engineer),PT Kao Indonesia,Karawang,,Teknik,Teknik Elektro/Elektronik,"Multinational Company, The Kao Way Philosophy",2024-03-12,Full time,"Task & Responsibilities :Able to plan and design an engineering matter.Improve existing equipment or install new equipment, production machine and other facility, including design, budgeting, scheduling and controlling.Stabilize production process.Setting maintenance plan.Able to coordinate project team & support maintenance activities. Qualification & Experience :Candidate must possess only for Bachelor Degree (S1) in Electrical Engineering.Preferable Fresh Graduate or 1 year working experience.Familiar with common machine (mechanical & electrical)Familiar with PDCA circle and Kaizen.Familiar with safety work standard.Basic knowledge of ISO 90001 & 14001.Computer literacy : MS. Office & Auto Cad.Required language(s) : English.Applicants must be willing to work in Karawang.Have a good health.Full-time position available.",https://www.jobstreet.co.id/id/job/74381396?type=standout&ref=search-standalone
Koordinator Driver Talent Management  (Penempatan: Cikarang),PT Rapi Trans Logistik Indonesia,Cikarang Selatan,,Sumber Daya Manusia & Perekrutan,Pengembangan Organisasi,"Insentif yang menarik, Kesempatan untuk mengembangkan karir, Ada jenjang karir",1 jam yang lalu,Full time,"Koordinator Driver Talent Management (Penempatan : Cikarang) Job Description:Melakukan rekrutmen driver sesuai dengan kebutuhan perusahaanMemberikan pelatihan dan pengembangan kepada para driverMemantau dan mengevaluasi kinerja para driver untuk sesuai dengan SOP yang telah diterapkanMengkoordinasikan kesiapan armada kepada driverMengelola administrasi yang berkaitan dengan para driverMemastikan driver menjaga kelengkapan atau alat pendukung armadaBerkoordinasi dan berkomunikasi dengan driver jika driver mengalami kendala di dalam melakukan tugasnyaBerkoordinasi dengan bagian terkait seperti operational, Finance Accounting dan Sales. Kualifikasi:D3/S1 Semua JurusanPaham Alur Operasional dan dokumentasi Masuk keluar Container Import Export di Tanjung PriokMin. 2 tahun sebagai driver coordinator di perusahaan TransportasiMemiliki kemampuan komunikasi, kepemimpinan, problem solving, negosiasi yang baikBersedia melakukan perjalanan dinas dan piket kerja weekendsMampu bekerja dengan deadline yang ketat dan memenuhi target kinerja yang ditetapkanMemiliki SIM A dan C",https://www.jobstreet.co.id/id/job/74408397?type=standout&ref=search-standalone
Finance & Accounting Staff,PT TemanCEO Indonesia,Jakarta Barat,,Akuntansi,Akuntansi & Pelaporan Finansial,,19 jam yang lalu,Full time,"The last 4 years have been very interesting for us. We have supported many companies to grow through digital transformation. Our integrated business software have helped companies to run their business process more efficiently, while our digital marketing team have increased the growth of their brands and most importantly, their revenue.And now, we wanted to focus on doing it on a bigger scale. Helping many more companies to grow faster. Therefore, we are currently looking for a highly motivated, result oriented, persistent and passionate professional to join our team to fill the below position:  Finance & Accounting Staff Responsibilities :Perform day to day accounting & finance role including executing any kind of accounting, finance operation, and tax.Making L/R reports, balance sheets, journalsPost journals in accordance with the chart of accountVerify the completeness of the documents required for financial transactionsPerforming reconciliation of financial data preciselyReview and Manage cashflowEnsuring accounting reports are completed on timeReconcile bank statementsRequirements :Bachelor Degree (S1) preferably Accounting.At least 2 years of relevant working experience in similar fieldAble to operate accounting softwareAdvanced MS Excel skills including vlookups, hlookups and pivot tablesHonest, detail oriented, good analytical skill and can work under pressure with tight deadlinesUnderstand about tax",https://www.jobstreet.co.id/id/job/74391621?type=standout&ref=search-standalone
Maintenance Operator,PT Cahaya Benteng Mas,Makassar,,"Manufaktur, Transportasi & Logistik",Operator Mesin,"BPJS Kesehatan & Ketenagakerjaan, Budaya kerja yang nyaman, Fasilitas makanan",21 jam yang lalu,Kontrak,"Pendidikan SMK/SMAMinimal Berpengalaman 1 Tahun pada mesin produksi Roofing, floordeck, reng, hollow, trussMemantau dan memastikan pelaksanaan preventive maintenance tepat waktu dan terlaksana sesuai jadwalMengantisipasi terjadinya breakdown maintenance dan melaksanakan perbaikannyaMonitoring kelayakan dan penggunaan listrik, mesin produksi, kompresor, dan gensetMelakukan perawatan secara berkala, harian, mingguan, dan bulananDomisili Makassar",https://www.jobstreet.co.id/id/job/74388434?type=standout&ref=search-standalone
Staff Accounting,PT Duniatex Group,Jawa Tengah,,Akuntansi,Akuntansi & Pelaporan Finansial,"Career Acceleration, Great benefit, Great team",2 jam yang lalu,Full time,"Requirements :Age maximum 30 yearsCandidate must possess a Bachelor's Degree in Accounting with a minimum GPA of 3.00At least 2 years of working experience as an Accounting Officer, preferably in manufacturingGood knowledge of costing and proficient with formulas in Microsoft ExcelFamiliar with SAP, Brevet A & B is a plusWilling to be placed in Central Java and Yogyakarta areas Job responsibilities :Responsible for supporting forecast/budgeting process, business decision supportAssist in compiling monthly management accounting reporting and forecast analysisAssist in sales and cost analysis reviewAssist in projects on process improvements and business control",https://www.jobstreet.co.id/id/job/74407727?type=standout&ref=search-standalone
Training & Development Officer,PT Astra Otoparts Tbk,Jakarta Utara,,Sumber Daya Manusia & Perekrutan,Pelatihan & Pengembangan,"Competitive Sallary, Advance Development Program, Fun & Friendly Environment",23 jam yang lalu,Full time,Membuat perencanaan kegiatan training dalam 1 tahun kedepan untuk perusahaan.Menjalankan dan monitoring kegiatan training tahunan.Membuat analisa kebutuhan training untuk karyawan di perusahaan.Membuat training program baru sesuai dengan kebutuhan perusahaan dan bisnis.,https://www.jobstreet.co.id/id/job/74383953?type=standout&ref=search-standalone
Staff Admin,PT Kurnia Kemilau Kencana Sakti,Kabupaten Bantul,Rp2.000.000 – Rp2.500.000 per month,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,Full time,"Tugas dan Tanggung Jawab- Membuat Sales Order, Purchase Order, Delivery Order- Berhubungan dengan vendor untuk urusan Purchase Order- Mengelola dokumen kantor- Mengarsip dan merekap data yang masuk- Menyiapkan dan memastikan segala perlengkapan dan peralatan kantor- Membuat laporan secara berkala- Mengumpulkan dan Menyusun dokumen, invoice, dll- Menbuat jurnal atas operasionalKualifikasi:1. Maksimal berusia 30 tahun2. Pendidikan: Lulusan S1 Akuntansi, Minimum D3 Akuntansi (atau yang relevan)3. Mempunyai pengalaman minimal 3 tahun.4. Familiar dengan komputer, terutama Ms. Office dan Google Workspace5. Cepat belajar, jujur, cekatan, teliti, berdisiplin tinggi, berinisiatif dan bertanggung jawab6. Mampu bekerja dibawah tekanan dan dapat bekerja secara individual dan dalam tim",https://www.jobstreet.co.id/id/job/74321016?type=standout&ref=search-standalone
Executive Assistant,Bahasa Bule,Bali,"Rp6,000,000 – Rp8,000,000 per month",Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial","Business Expansion., Higher growth for salary based on performance., Salary is negotiable based on your performance after the probation period.",23 jam yang lalu,Full time,"About usHi there! We're looking for an Executive Assistant to join our startup in Indonesia. We focus on education using technology. Currently, I own Bahasa Bule, and we're starting a new school that's going to grow quickly because we have all the sources to help us expand. If you're excited about education and want to work with a lively team, we'd love to hear from you!Qualifications & experienceLancar berbahasa Inggris baik berbicara maupun tulisan.Bisa multitasking dan terorganisir.Pengalaman sebagai asisten atau dalam peran administratif yang relevan lainnyaKeahlian dalam MS Office (MS Excel dan MS PowerPoint, khususnya).Keterampilan manajemen waktu yang sangat baik dan kemampuan untuk memprioritaskan pekerjaan.Tasks & responsibilitiesMengelola jadwal, termasuk pertemuan, janji temu, dan perjalanan dinas eksekutif.Menangani tugas kantor, seperti mengarsipkan dan menghasilkan laporan. Menggunakan berbagai software, termasuk spreadsheet, database, dan perangkat lunak presentasi untuk menyiapkan laporan dan dokumen.Menjaga komunikasi yang sopan dan profesional melalui telepon, e-mail, dan surat.Memperbarui dan memelihara kebijakan dan prosedur kantor.",https://www.jobstreet.co.id/id/job/74384198?type=standout&ref=search-standalone
Staff Accounting,Perumahan Cipinang Indah,Jakarta Timur,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-12,Kasual,"Dibutuhkan Staff Accounting :Berdomisili di Cipinang Indah dan sekitarnyaUsia maksimal 25 tahunPendidikan minimal S1 AkuntansiMempunyai brevet A dan BMahir microsoft officeYang tidak memenuhi kriteria diatas tidak akan diproses Deskripsi Pekerjaan :Input data transaksiFilling dokumen transaksiRekonsiliasi bank dan akun lainnyaStock opnameLapor pajak (SPT Masa)Review perpanjangan dan mengarsip polis asuransiMonitor berakhirnya masa sewa dan menyiapkan kontrak perpanjanganMenyiapkan pembayaran BPJS dan monitor perubahan data pesertaMengarsip copy sertifikat, IMB dan dokumen perizinan",https://www.jobstreet.co.id/id/job/74381285?type=standout&ref=search-standalone
Business Process Staff,PT Internusa Jayaabadi Sentosa,Jakarta Selatan,,Konsultasi & Strategi,Strategi & Perencanaan,"Business Process, Business Analyst, Standard Operational Procedure",20 jam yang lalu,Kontrak,"Internusa Jayaabadi Sentosa (IJS) serves various companies with various types of core businesses that are developing and is currently looking for Business Process Staff with the qualifications and job details below: Qualifications:Candidate must possess at least Bachelor's Degree in Accounting, Information System or Industrial Engineering.At least 2 Years of working experience as Business Process/ Internal Auditor/ Compliance in corporate settings.Fluent in English both oral and written is a must.Understand and be able to make audit process & procedure (SOP).Have the ability to analyze financial and non-financial data.Detail, thorough, able to work in team, have commitment, integrity and professional.Willing to do business trip outside work location. Job Details:Carrying out work according to a predetermined timeline in accordance with the assignment priority scaleFollowing up on all assignments to clients, colleagues or superiorsEnsuring that the control points in the SOP have been properly placed to minimize the risks that will occurEnsuring there is no duplication of activities in business processesEnsuring that the SOP's that have process links are not interruptedConducting internal checks on the completeness of all Company proceduresConducting regular evaluation of SOP's that have been published Compensation – Benefits:Competitive Salary (Negotiable depend on qualifications)Festive Allowances (THR)Training & Development",https://www.jobstreet.co.id/id/job/74391336?type=standout&ref=search-standalone
JUNIOR IT SPECIALIST,PT Gunatronikatama Cipta (GASI),Jakarta Raya,"Rp6,200,000 – Rp9,300,000 per month",Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,21 jam yang lalu,Full time,"REQUIREMENTSMinimal lulusan SMK bidang Teknik JaringanPengalaman praktek lapang di bidang komputer/teknologi informatika akan menjadi nilai tambah (pernah memasang perangkat lunak sistem operasi linux atau windows atau windows server, perangkat jaringan mikrotik dan lainnya) JOB DESCRIPTIONMemberikan support teknis kepada pengguna komputer, aplikasi dan jaringan apabila mengalami kendalaMonitor dan memelihara perangkat keras komputer (laptop, thin client, server, perangkat keras jaringan dan perangkat lainnya)Monitor dan memelihara sistem komputerMonitor dan memelihara jaringan komputerMembuat laporan berkala (harian, mingguan, bulanan dan 3 bulanan) terkait keamanan dan utilisasi penggunaan perangkat komputerTugas-tugas khusus dalam rangka pengembangan kemampuan teknis dan non teknis",https://www.jobstreet.co.id/id/job/74387757?type=standout&ref=search-standalone
HR OFFICER,PT ACCENTUATES,Jakarta Selatan,"Rp5,000,000 – Rp5,500,000 per month",Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,"1. Gaji Pokok, 2. Jenjang Karir, 3. kompensasi omnibuslaw, BPJS Kesehatan & BPJS Ketenagakerjaan",2024-03-12,Kontrak,"Qualifications Required :Usia maksimal 30 tahunMinimal pendidikan S1 PsikologiPengalaman minimal 1 tahun sebagai HR Rekrutment dan GeneralistPaham dan mampu menggunakan alat test psikologiPaham dan mampu menggunakan rumus excel seperti vlookup, hlookup dan pivot tableMempunyai jiwa kepemimpinan, komunikasi dan negosiasi yang baikMempunyai tanggung jawab, disiplin dan interpersonal yang baikBersedia overtime jika di perlukanSudah Vaksin Min Dosis 2 Benefit Gaji PokokJenjang KarirKompensasi Omnibuslaw BPJS Kesehatan & KetenagakerjaanTHR PT. Accentuates merupakan satu-satunya partner dari Samsung Electronics Indonesia yang mensupport / mendukung kebutuhan Tenaga Kerja (Sales promotor, Area coordinator, Spv, Mds, Admin). Bersama SEIN, kami adalah perusahaan terbaik penyedia tenaga kerja di bidang operasional, dan selalu berusaha memenuhi kebutuhan sesuai dengan standar dari SEIN",https://www.jobstreet.co.id/id/job/74367473?type=standout&ref=search-standalone
Finance Staff,PT Harapan Fintech Indonesia,Jakarta Barat,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-12,Full time,"Qualifications & experienceCandidate must have at least a Bachelor's Degree in Economics/AccountingMinimum 2 years work experience in related fieldRequired language skills: English (Active), Mandarin (Preferred)Honest, active, has good organizational skills, is able to determine priorities, is responsible, and is able to work independently or in a teamGood administrative skillsExperience in a Fintech Company will be considered preferredTasks & responsibilitiesSolid Understanding Of Accounting Principles - Proficient in recording financial transactions accurately and efficientlyFinancial Reporting Skill - Ability to assist in the preparation of Financial reports,Cash Management Expertise - Experience in managing company cash flows, includingTax Compliance Knowledge -  Familiarity with tax regulations and laws to collaborate effectively with the Tax Department in preparing company tax reportsRegulatory Compliance – Ensures all financial activities comply with relevant rules and regulations, including OJK regulations and other applicable financial standardsAudit Support Ability - Capable of assisting with accounting and finance-related tasks for both internal and external auditsAnalytical Skills - Strong analytical skills to interpret financial data and identify areas for improvement or potential risksAttention to Detail - Keen attention to detail to ensure accuracy in financial records and reportsDemonstrates integrity and professionalism in handling financial matters, maintaining confidentiality, and adhering to ethical standards",https://www.jobstreet.co.id/id/job/74361499?type=standout&ref=search-standalone
