job_title,predicted_subcategory,predicted_role
System Integration Analyst,"Network, System & Database Admin",System Analyst
Analyst Logistics,"Network, System & Database Admin",System Analyst
Data Analis Keuangan Perusahaan,Data,Data Engineer
Pricing Analyst,"Network, System & Database Admin",System Analyst
Database Engineer Oracle Certified,Software,Oracle Developer
Staff Data Entry,"Network, System & Database Admin",Data Entry
Data Analis,Data,Data Engineer
Data Center Automation Lead Engineer,Hardware Development,Automation Engineer
Data Scientist,Data,Data Scientist
System Data Analys,Data,Data Engineer
Karyawti Enty Data,Data,Data Engineer
Entry Data,"Network, System & Database Admin",Data Entry
Operation Quality Data Analyst,Data,Data Analyst
Supply Chain Data Analysis Staf,"Network, System & Database Admin",Data Entry
Primary Database Coordinator,"Network, System & Database Admin",Database Administrator
System Development,Software,Developer
It Data Center,Data,Data Engineer
Data Analis,Data,Data Engineer
Research Analysts Market Research,"Operation, Maintenance & Technical Support",IT Technical Support
Data Entry,"Network, System & Database Admin",Data Entry
Budgeting Analyst,"Network, System & Database Admin",System Analyst
Data Engineer,Data,Data Engineer
Data Analyst,Data,Data Analyst
Data Centre Lead,Data,Data Engineer
Lead Of Data Science,Software,Software Engineer
Data Analyst Data Researcher,Data,Data Analyst
Data Scientist,Data,Data Scientist
Data Analyst Supervisor,Data,Data Analyst
Support Stakeholder Maluku,"Operation, Maintenance & Technical Support",IT Technical Support
Data Engineer,Data,Data Engineer
Database Administrator Asst Manager Postgresql,"Network, System & Database Admin",Database Administrator
Edb Postgresql Database Administrator,"Network, System & Database Admin",Database Administrator
Database Administrator Dba,"Network, System & Database Admin",Database Administrator
Data Analyst Support,Data,Data Analyst
Data Warehouse And Reporting Specialist,Data,Data Engineer
Data Engineer,Data,Data Engineer
Operational Analyst,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Product Development Analyst,Software,Software Engineer
Cash Flow Analyst,"Network, System & Database Admin",System Analyst
Power Bi Specialist,"Operation, Maintenance & Technical Support",IT Technical Support
Partnership Analyst,"Network, System & Database Admin",System Analyst
Data Engineer Specialist,Data,Data Engineer
Facility Data Center Purwakarta,Data,Data Engineer
Data Entry,"Network, System & Database Admin",Data Entry
System Admin Database Assistant Manager,"Network, System & Database Admin",Database Administrator
Branch Analyst,"Network, System & Database Admin",System Analyst
Marketing Analyst Heavy Equipment,"Network, System & Database Admin",System Analyst
Principal Financial Analyst Wfo Jakarta Id,"Network, System & Database Admin",System Analyst
Service Marketing Analyst,"Network, System & Database Admin",System Analyst
Senior Database Administrator,"Network, System & Database Admin",Database Administrator
Foreman Dan Admin Dermaga,Other Computer & Information Technology,Information Technology Staff
Junior Data Analyst,Data,Data Analyst
System Engineer Data Center,Data,Data Engineer
Data Entry,"Network, System & Database Admin",Data Entry
Financial Analyst,"Network, System & Database Admin",System Analyst
Medical Data Officer,Data,Data Analyst
Database Administrator,"Network, System & Database Admin",Database Administrator
It Project Analyst Lead,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Chemical Analyst Sentul,"Network, System & Database Admin",System Analyst
Database Engineer,"Network, System & Database Admin",Database Administrator
Anti Fraud Analyst,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Admin Data Entry Intern,"Network, System & Database Admin",Data Entry
Support Analyst,"Network, System & Database Admin",System Analyst
Medical Data Officer,Data,Data Analyst
Credit Analyst W Mobil Bandung Raya,"Network, System & Database Admin",System Analyst
Data Center Mekanikal Dan Elektrikal,"Network, System & Database Admin",Data Entry
Data Entry,"Network, System & Database Admin",Data Entry
Infrastructure System Admin Database Manager,Other Computer & Information Technology,Information Technology Staff
Elv Extra Low Voltage Electrical Engineer Construction Data Center,Electronic & Semiconductor,Electronics Engineer
Senior Data Analyst,Data,Data Analyst
Corporate Strategic Management Analyst,"Network, System & Database Admin",System Analyst
Data Center System Operation Officer,Other Computer & Information Technology,Information Technology Staff
Data Engineer,Data,Data Engineer
Data Annotators Flexible Work Unlimited Income Opportunities Join Us Now,Data,Data Engineer
Data Engineer,Data,Data Engineer
Senior It Consultant It Grc It Security Ea Data Governance,"Operation, Maintenance & Technical Support",IT Technical Support
Junior Valuation Analyst,"Network, System & Database Admin",System Analyst
Data Base Administrator Oracle Ebs,Software,Oracle Developer
Data Analyst,Data,Data Analyst
Data Engineer Bandung,Data,Data Engineer
Junior It Consultant It Grc It Security Ea Data Governance,"Operation, Maintenance & Technical Support",IT Technical Support
It System Development,Software,Developer
Database Administrator,"Network, System & Database Admin",Database Administrator
It Staff Database Manufacturing A,"Network, System & Database Admin",Database Administrator
Service Quality Assurance Analyst,QA & Software Testing,Quality Assurance
Tkdn Officer Analyst,"Network, System & Database Admin",System Analyst
It Data Analyst Power Bi Developer,Data,Business Intelligence Analyst
Data Analitics,Data,Data Engineer
Fraud Analyst,"Network, System & Database Admin",System Analyst
Data Analisis Atau Kataloger,Data,Data Engineer
Mis Analytics Reporting Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
It Product Analyst,"Network, System & Database Admin",System Analyst
Production Data Entry,"Network, System & Database Admin",Data Entry
Market Research Analyst,"Network, System & Database Admin",System Analyst
Financial Analyst Manager,"Network, System & Database Admin",System Analyst
Lead Data Scientist,Data,Data Scientist
Marketing Data Analyst,Data,Data Analyst
Data Engineer,Data,Data Engineer
Database Administrator,"Network, System & Database Admin",Database Administrator
Marketing Analyst,"Network, System & Database Admin",System Analyst
Financial Spesialist Denpasar,"Operation, Maintenance & Technical Support",IT Technical Support
Operations Improvement Station Management Analyst,"Network, System & Database Admin",System Analyst
Credit Analyst,"Network, System & Database Admin",System Analyst
Tableau Developer,Software,Developer
Monomer Bd Lab Analyst,"Network, System & Database Admin",System Analyst
Credit Underwriting,"Operation, Maintenance & Technical Support",IT Technical Support
It Database Management Officer,Other Computer & Information Technology,Information Technology Staff
Commercial Strategy Analyst,"Network, System & Database Admin",System Analyst
Corporate Credit Analyst,"Network, System & Database Admin",System Analyst
Credit Analyst Sme Wholesale,"Network, System & Database Admin",System Analyst
Admin Data Analyst,Data,Data Analyst
Data Analyst Retail Fashion,Data,Data Analyst
Financial Analyst,"Network, System & Database Admin",System Analyst
Data Engineer,Data,Data Engineer
New Product Sourcing Analyst Months Contract For Maternity Leave,"Operation, Maintenance & Technical Support",IT Technical Support
Credit Analyst,"Network, System & Database Admin",System Analyst
Credit Analyst Ternate,"Network, System & Database Admin",System Analyst
Analyst Compliance Stock Taking,"Network, System & Database Admin",System Analyst
Credit Analyst Motor Surabaya,"Network, System & Database Admin",System Analyst
It Data Center Operation,Cyber Security,SOC Analyst
Financial Analyst,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Database Administrator,"Network, System & Database Admin",Database Administrator
Specialist Database Temenos,"Network, System & Database Admin",Database Administrator
Senior Data Engineer,Data,Data Engineer
Treasury Consultant Analyst,"Network, System & Database Admin",System Analyst
Principal Community Relation Analyst Wfo Ntb Id,"Network, System & Database Admin",System Analyst
Database Section Head It,"Network, System & Database Admin",Database Administrator
Senior Financial Analyst,"Network, System & Database Admin",System Analyst
Retail Data Analyst Manager,Data,Data Analyst
Claim Analyst Non Mv Marine,"Network, System & Database Admin",System Analyst
Mill Analyst,"Network, System & Database Admin",System Analyst
Credit Analyst Motor Semarang,"Network, System & Database Admin",System Analyst
Economic Research Analyst,"Network, System & Database Admin",System Analyst
Fraud Analyst Spx Express Medan,"Network, System & Database Admin",System Analyst
Micro Credit Analyst,"Network, System & Database Admin",System Analyst
Corporate Data Scientist Head,Data,Data Scientist
Lms Data Entry Intern,"Network, System & Database Admin",Data Entry
Fraud Analyst Spx Express Denpasar,"Network, System & Database Admin",System Analyst
Credit Review Analyst Autofinance,"Network, System & Database Admin",System Analyst
Cost Revenue Analyst,"Network, System & Database Admin",System Analyst
Fraud Analyst Spx Express Manado,"Network, System & Database Admin",System Analyst
Data Center Facility Civil Structure,Data,Data Engineer
Fraud Analyst Spx Express Banjarmasin,"Network, System & Database Admin",System Analyst
Credit Analyst,"Network, System & Database Admin",System Analyst
Jv It Data Center Network Security Section Head Jakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Mis Data Analytics Staff,Data,Data Analyst
Data Scientist,Data,Data Scientist
Data Administrator Intern,"Network, System & Database Admin",System Administrator
Data Center Facility Fire Protection System,Data,Data Engineer
Senior Data Analyst,Data,Data Analyst
Data Center Manager,Data,Data Analyst
Financial Planning And Analyst,"Network, System & Database Admin",System Analyst
It Project Development Analyst,"Network, System & Database Admin",System Analyst
It Data Warehouse,Data,Data Engineer
Fraud Analyst Spx Express Kupang,"Network, System & Database Admin",System Analyst
Data Engineer,Data,Data Engineer
Oracle Technical Consultant And Support Analyst,"Network, System & Database Admin",System Analyst
Investment Analyst,"Network, System & Database Admin",System Analyst
Senior Data Engineer,Data,Data Engineer
Data Analyst Supervisor,Data,Data Analyst
Product Marketing For Data Analytics,Data,Data Engineer
Etl Developer,"Network, System & Database Admin",ETL Developer
It Support Pt Persada Solusi Data,Data,Data Analyst
Data Analyst,Data,Data Analyst
Head Of Data Governance,"Operation, Maintenance & Technical Support",IT Technical Support
Credit Analyst Mobil Kpm Makassar,"Network, System & Database Admin",System Analyst
Senior Technical Analyst,"Network, System & Database Admin",System Analyst
Operation Data Analyst,Data,Data Analyst
Credit Scoring Data Scientist,Data,Data Scientist
Database Administrator L,"Network, System & Database Admin",Database Administrator
Strategic Management Analyst,"Network, System & Database Admin",System Analyst
Data Scientist,Data,Data Scientist
Dosen Prodi Data Science Ubm Kampus Ancol,Software,Software Engineer
It Database Administrator,"Network, System & Database Admin",Database Administrator
Data Scientist,Data,Data Scientist
Procurement Category Analyst,"Network, System & Database Admin",System Analyst
Marketing Data Management Analytics Department Head,Data,Data Engineer
Sap Basis Data Center Sr Engineer,Data,Data Engineer
Dosen Prodi Data Science Ubm Kampus Serpong,Software,Software Engineer
Credit Analyst Batulicin,"Network, System & Database Admin",System Analyst
Admin Data Entry E Commerce,"Network, System & Database Admin",Data Entry
Coo Office Analyst Bootcamp Product,Software,Software Engineer
Marketing Analyst Sect Head,"Network, System & Database Admin",System Analyst
Data Scientist Ai Ml Engineer,Data,Data Scientist
Staff Desk Collection Surabaya,"Operation, Maintenance & Technical Support",IT Technical Support
Back End Developer,Frontend Development,Frontend Engineer
Data Warehouse Assistant Manager,Data,Data Engineer
Data Engineer Etl Developer,Data,Data Engineer
Growth Analyst,Software,Software Engineer
Credit Analyst Heavy Equipment,"Network, System & Database Admin",System Analyst
Credit Analyst Surabaya,"Network, System & Database Admin",System Analyst
Technical Product Analyst Fresh Graduates May Apply,"Operation, Maintenance & Technical Support",IT Technical Support
Coo Office Analyst Learning Management System Product,"Network, System & Database Admin",System Analyst
Senior Analyst,"Network, System & Database Admin",System Analyst
Financial Analyst Intern,"Network, System & Database Admin",System Analyst
It Database Administrator,"Network, System & Database Admin",Database Administrator
Credit Analyst,"Network, System & Database Admin",System Analyst
Credit Analyst,"Network, System & Database Admin",System Analyst
Senior Equity Research Analyst English Or Chinese,"Network, System & Database Admin",System Analyst
Vdi Cloud Operation Analyst,"Network, System & Database Admin",System Analyst
It Program Analyst,"Network, System & Database Admin",System Analyst
Data Center Fire System Engineer,Data,Data Engineer
Credit Analyst Jakarta,"Network, System & Database Admin",System Analyst
Associate System Administrator Analyst,"Network, System & Database Admin",System Administrator
It Database Section Head,"Network, System & Database Admin",Database Administrator
Fashion Research Analyst,"Network, System & Database Admin",System Analyst
Financial Planning And Analyst Officer,Other Computer & Information Technology,Information Technology Staff
Mechanical Engineer Cfd Data Center,Data,Data Engineer
Credit Analyst Bekasi,"Network, System & Database Admin",System Analyst
Staff System Organization Development Cikande,Other Computer & Information Technology,Information Technology Staff
Academic Administration Officer,Other Computer & Information Technology,Information Technology Staff
Health Safety Analyst Reporting,"Network, System & Database Admin",System Analyst
Credit Analyst For Funding Facility Lease Back,"Network, System & Database Admin",System Analyst
Credit Analyst Cabang Jambi,Other Computer & Information Technology,Information Technology Staff
It Database Administrator Senior,"Network, System & Database Admin",Database Administrator
Oracle Database Administrator,"Network, System & Database Admin",Database Administrator
Marketing Analyst Manager,"Network, System & Database Admin",System Analyst
Multifinance Development Analyst Leasing B,"Network, System & Database Admin",System Analyst
Admin Staff Cab Denpasar,Other Computer & Information Technology,Information Technology Staff
Frontend Developer Angular,Frontend Development,Frontend Engineer
Parts Analyst,"Network, System & Database Admin",System Analyst
Micro Credit Analyst Officer Kc Makassar,"Network, System & Database Admin",System Analyst
Marcomm Analyst,"Network, System & Database Admin",System Analyst
Head Of Infrastructure And Datacenter,"Operation, Maintenance & Technical Support",IT Technical Support
Data Entry,"Network, System & Database Admin",Data Entry
Desain Grafis,"Operation, Maintenance & Technical Support",IT Technical Support
Staff Helpdesk Implementation Support,"Operation, Maintenance & Technical Support",IT Technical Support
Magang Administrasi Input Data Produk,Data,Data Engineer
Staf Data Entry,"Network, System & Database Admin",Data Entry
Back End Developer,Frontend Development,Frontend Engineer
Staff Product Development,"Operation, Maintenance & Technical Support",IT Technical Support
Administrasi Data Entry,"Network, System & Database Admin",Data Entry
It Help Desk Bandung Area Mille Erp Solution,Other Computer & Information Technology,Information Technology Staff
Brand Development Strategist Wfo Yogyakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Outsystems Developer,Software,Developer
Data Analsyt,Data,Data Engineer
Ppn Tax Analyst Officer,"Network, System & Database Admin",System Analyst
Entry Data,"Network, System & Database Admin",Data Entry
Data Entry,"Network, System & Database Admin",Data Entry
Data Entry,"Network, System & Database Admin",Data Entry
Desk Collection Makassar,"Operation, Maintenance & Technical Support",IT Technical Support
Back End Developer,Frontend Development,Frontend Engineer
Strategic Leadership Trainee,Software,Software Engineer
Supervisor Collection Bad Debt,Other Computer & Information Technology,Other Technical Positions
Operational Risk Manager,Other Computer & Information Technology,Information Technology Staff
Data Support Staff,Data,Data Analyst
Bussiness Analyst Ba,"Network, System & Database Admin",System Analyst
Accounting Superintendent,"Operation, Maintenance & Technical Support",IT Technical Support
Staff Administrasi Data Entry,"Network, System & Database Admin",Data Entry
Desk Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Branch Manager Non Dealer Financing Car Jabotabek Area,"Operation, Maintenance & Technical Support",IT Technical Support
Brand Specialist Led Furniture Urgently Needed,"Operation, Maintenance & Technical Support",IT Technical Support
Mologiz Order Planner Logistic,"Operation, Maintenance & Technical Support",IT Technical Support
Bim Modeler,"Operation, Maintenance & Technical Support",IT Technical Support
Growth Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Management Trainee It Jde Function Support,"Operation, Maintenance & Technical Support",IT Technical Support
Data Analyst Leader,Data,Data Analyst
Odoo Developer Mid To Senior,Software,Odoo Developer
Data Entry,"Network, System & Database Admin",Data Entry
Staf Media Ahli Digital Graphic Designer Dan Medsos,"Operation, Maintenance & Technical Support",IT Technical Support
Iot Developer Staff,Other Computer & Information Technology,Information Technology Staff
Backend Developer Payroll Project,Backend Development,Backend Developer
Penanggungjawab Teknis Alat Kesehatan Regulatory Affairs Medical Devices,"Operation, Maintenance & Technical Support",IT Technical Support
Channel Development Supervisor,Other Computer & Information Technology,Other Technical Positions
Data Entry,"Network, System & Database Admin",Data Entry
Administrasi Data Entry,"Network, System & Database Admin",Data Entry
Designer Osp,"Operation, Maintenance & Technical Support",IT Technical Support
Project Leader,"Operation, Maintenance & Technical Support",IT Technical Support
Graphic Design Officer,Other Computer & Information Technology,Information Technology Staff
Staff Helpdesk,Other Computer & Information Technology,Information Technology Staff
Devops Engineer Red Hat,"Operation, Maintenance & Technical Support",Devops Engineer
Graphic Design Photography Project Based,Software,Software Engineer
Desk Collection Yogyakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Account Payable Analyst,"Network, System & Database Admin",System Analyst
Trade Promo Supervisor,Other Computer & Information Technology,Other Technical Positions
Research And Development Staff,Other Computer & Information Technology,Information Technology Staff
Qc Laboratorium Qc Analyst Bahan Pangan,Software,Software Engineer
Leader Of Durian Production Palu,Other Computer & Information Technology,Information Technology Staff
Interior Designer,"Operation, Maintenance & Technical Support",IT Technical Support
Admin Delivery,Other Computer & Information Technology,Information Technology Staff
Staff Gudang Denpasar,Other Computer & Information Technology,Information Technology Staff
Petugas Lapangan On Demand,"Operation, Maintenance & Technical Support",IT Technical Support
Project Manager Kontraktor Interior Design Interior Build,Telecommunication,Communication Project Manager
Kepala Department Sdm Kantor Cabang Di Bank Buku Ii,"Operation, Maintenance & Technical Support",IT Technical Support
Desktop Network Operations It Engineer,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Laboratory Analyst Internship,"Network, System & Database Admin",System Analyst
Graphic Designer Offshore,"Operation, Maintenance & Technical Support",IT Technical Support
Mobile Developer Kotlin,Mobile Development,Kotlin Developer
Graphic Design,Software,Software Engineer
Golang Developer,Backend Development,Golang Developer
Desk Call,"Operation, Maintenance & Technical Support",IT Technical Support
Flutter Developer,Mobile Development,Flutter Developer
Desain Interior,"Operation, Maintenance & Technical Support",IT Technical Support
Superintendent Logistik,"Operation, Maintenance & Technical Support",IT Technical Support
Back End Developer Engineer,Frontend Development,Frontend Engineer
Supply Chain Modelling Engineer,"Network, System & Database Admin",System Engineer
Technical Superintendent,"Operation, Maintenance & Technical Support",IT Technical Support
Dba And It Infrastructure Analyst,"Operation, Maintenance & Technical Support",IT Technical Support
Account Executive Area Denpasar,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Net Developer,Backend Development,.Net Developer
Ios Developer,Mobile Development,iOS Developer
Ios Development Instructor,Mobile Development,iOS Developer
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Production Demand Planning Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Product Development Furniture Company,Software,Software Engineer
Inventory Control Inbound Leader,Other Computer & Information Technology,Information Technology Staff
Early Detection Officer Credit Card,Other Computer & Information Technology,Information Technology Staff
Trade Marketing,"Operation, Maintenance & Technical Support",IT Technical Support
Ios Developer,Mobile Development,iOS Developer
Qa Qc Leader,QA & Software Testing,QA Engineer
Admin Database Agent,Other Computer & Information Technology,Information Technology Staff
Staf Operator Pddikti Akademik,Other Computer & Information Technology,Information Technology Staff
Kol Team Leader,Other Computer & Information Technology,Information Technology Staff
Flutter Kotlin Mobile Apps Developer,Mobile Development,Flutter Developer
Desan Graphic Desaign Product Admin,"Network, System & Database Admin",System Administrator
Key Account Manager Modern Trade,Other Computer & Information Technology,Information Technology Staff
Credit Analyst Used Car And New Car Only,"Network, System & Database Admin",System Analyst
Anti Money Laundering Transaction Monitoring,"Operation, Maintenance & Technical Support",IT Technical Support
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Lead Product Designer Global Tech Company,Software,Software Engineer
Mobile Application Developer,Mobile Development,Mobile Developer
Regional Trade Activation Fundamental Sumatera,"Operation, Maintenance & Technical Support",IT Technical Support
Mechanical Design Conceptor,"Operation, Maintenance & Technical Support",IT Technical Support
Quality Control Field Collection Team Leader,QA & Software Testing,QA Tester
It Developer,Software,Developer
Backend Developer,Backend Development,Backend Developer
Supervisor Delivery,Other Computer & Information Technology,Other Technical Positions
Kurir Delivery,"Operation, Maintenance & Technical Support",IT Technical Support
Marketing Leader E Commerce Digital Marketing,Other Computer & Information Technology,Information Technology Staff
It Helpdesk,"Operation, Maintenance & Technical Support",IT Technical Support
Demand Planning Officer,Other Computer & Information Technology,Information Technology Staff
Landscape Designer Officer,Other Computer & Information Technology,Information Technology Staff
Product Design Engineer,Software,Software Engineer
Interior Designer,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Frontend Developer,Frontend Development,Frontend Engineer
Design Architect,Other Computer & Information Technology,Solution Architect
Staff Research And Development,Other Computer & Information Technology,Information Technology Staff
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Performance Quality Analyst Medan,"Network, System & Database Admin",System Analyst
Proggramer Developer,Software,Developer
Ppic Leader,Other Computer & Information Technology,Information Technology Staff
Technical Lead Net Developer,Backend Development,.Net Developer
Product Design And Development Rnd Staff,"Operation, Maintenance & Technical Support",IT Technical Support
Mobile App Developer,Mobile Development,Mobile Developer
Ui Ux Designer,Software,Software Engineer
It Development Manager,Software,Developer
Quality Control Analyst,QA & Software Testing,QA Tester
Credit Marketing Officer Denpasar,Other Computer & Information Technology,Information Technology Staff
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Operation Development Multifinance,"Operation, Maintenance & Technical Support",IT Technical Support
Full Stack Developer,Full Stack Development,Full Stack Developer
It Helpdesk,"Operation, Maintenance & Technical Support",IT Technical Support
Backend Developer Internship,Backend Development,Backend Developer
Kepala Departemen Collection Remedial Pembiayaan Multiguna,"Operation, Maintenance & Technical Support",IT Technical Support
Production Leader,Other Computer & Information Technology,Information Technology Staff
Developer Front Back End,Frontend Development,Frontend Engineer
Delivery,"Operation, Maintenance & Technical Support",IT Technical Support
Drafter Depok,Electronic & Semiconductor,Electronics Engineer
Tender Document Staff,Other Computer & Information Technology,Information Technology Staff
Graphic Designer Intern,Other Computer & Information Technology,Information Technology Staff
Professional Design Apple Developer Academy Binus,Software,Software Engineer
Desk Collection Supervisor Yogyakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Designer Interior,"Operation, Maintenance & Technical Support",IT Technical Support
It Database Security Administrator Department Head,"Network, System & Database Admin",Database Administrator
Sharepoint Developer,Software,Developer
It Vendor Management Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Corporate Communication Dept Head,"Operation, Maintenance & Technical Support",IT Technical Support
Research And Development Staff,Other Computer & Information Technology,Information Technology Staff
Branch Manager Dealer Hino,"Operation, Maintenance & Technical Support",IT Technical Support
Oracle Ebs Developer,Software,Oracle Developer
Sap Abap Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Kindergarten Teacher,"Operation, Maintenance & Technical Support",IT Technical Support
Sap Abap Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Graphic Design Staff,Other Computer & Information Technology,Information Technology Staff
Trade Marketing Manager General Local Modern Trade Fmcg,Other Computer & Information Technology,Information Technology Staff
Trade Marketing Manager General Local Modern Trade Fmcg,Other Computer & Information Technology,Information Technology Staff
Electrical Instrument Automation Superintendent Pulp Industry,Electronic & Semiconductor,Electronics Engineer
Warehouse Leader,Other Computer & Information Technology,Information Technology Staff
Community Campaign Deputy Manager,"Operation, Maintenance & Technical Support",IT Technical Support
It Infrastructure Dept Head,"Operation, Maintenance & Technical Support",IT Technical Support
Technology Development Manager,Software,Developer
Staff Penjualan Staff Penagihan Jabodetabek,Other Computer & Information Technology,Information Technology Staff
Staff Penjualan Staff Penagihan Jabodetabek,Other Computer & Information Technology,Information Technology Staff
Senior Product Development,Software,Software Engineer
Back End Developer,Frontend Development,Frontend Engineer
Marketing Development Supervisor Jakarta Selatan,Other Computer & Information Technology,Other Technical Positions
Soc Analyst L,"Network, System & Database Admin",System Analyst
Mobile Developer Android Ios Optional,Mobile Development,Mobile Developer
Digital Product Research And Development Section Head,Software,Software Engineer
Design Graphics,Software,Software Engineer
