Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
staff admin,PT. Surya Agung Gemilang,Surabaya,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,Full time,"Tugas dan Tanggung JawabMembuat Sales Order, Purchase Order, Delivery OrderBerhubungan dengan vendor untuk urusan Purchase OrderMengelola dokumen kantorMengarsip dan merekap data yang masukMenyiapkan dan memastikan segala perlengkapan dan peralatan kantorMembuat laporan secara berkalaMengumpulkan dan Menyusun dokumen, invoice, dllMembuat jurnal atas operasional Kualifikasi:Maksimal berusia 30 tahunPendidikan: Lulusan S1 Akuntansi, Minimum D3 Akuntansi (atau yang relevan)Mempunyai pengalaman minimal 3 tahun.Familiar dengan komputer, terutama Ms. Office dan Google WorkspaceCepat belajar, jujur, cekatan, teliti, berdisiplin tinggi, berinisiatif dan bertanggung jawabMampu bekerja dibawah tekanan dan dapat bekerja secara individual dan dalam timBisa mengenali sistem perpajakanBisa berbahasa asing (inggris dan mandarin)",https://www.jobstreet.co.id/id/job/74489308?type=standout&ref=search-standalone,74489308,Other
operator data center,PT Collega Inti Pratama,Bogor,,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,,2024-03-17,Kontrak,"Deskripsi Pekerjaan:Monitoring Operasional Data CenterMenjalankan Proses End of PeriodBackup dan Restore DatabaseKualifikasi:Usia maksimal 28 TahunMinimal lulusan D3 Sistem Informasi/Teknik InformasiFresh graduate dapat dipertimbangkanOperating System (Linux, Windows, UNIX)Mengetahui RDBMS (DB2, Sybase, PostgreSQL)Mengerti Bahasa SQLMengenal message format ISO 8583 (nilai tambah)Dapat menggunakan operasi pemantauan pusat data (nilai tambah)Mampu menggunakan sistem pengendalian akuntansi (nilai tambah)Siap bekerja shifting (Wajib)Bersedia ditempatkan di Sentul.",https://www.jobstreet.co.id/id/job/74310358?type=standout&ref=search-standalone,74310358,DATA
junior financial analyst,PT Energasindo Heksa Karya,Jakarta Pusat,,Perbankan & Layanan Finansial,Analisis & Pelaporan,"Oil & Gas Company, Career Opportunity, Central Jakarta Area",2024-03-13,Kontrak,"Responsible for Financial Analysis of all company activity and also subsidiaries, such as :Feasibility Study, Financial Modelling, Project Profitability Analysis, Financial Forecasting, Review Pricing, etc.Get involved in the feasibility study and generate the financial modelling as well as the economic value of a projectConduct the fund rising for Company projectConduct assessment to the appointed banks in order to conform with prevailing terms and conditions.Work closely with Finance & Accounting Manager and various departments to drive financial results.Assist the Managers to conduct the financial analysis of strategic tactics to improve long-term financial performance, and provide financial recommendation.Prepare financial forecasts and presentations; identify trends, and make recommendations to Management based upon results in order to minimize risk and maximize opportunities.Support the review of pricing relevance by analysing the cost components and cost drivers Qualification :Minimum Bachelor degree in Finance, Accounting or Economics/Banking or related discipline.Preferably at least 2 to 3 years working experience in the related field is required for this position.Able to make financial modelling for investment project especially in energy industryStrong analytical thinkingA team player with excellent communications and interpersonal skills.Have experience related to Business Funding with Bank.Business Intelligence tools and Data analytics capability will be a plus",https://www.jobstreet.co.id/id/job/74416277?type=standout&ref=search-standalone,74416277,Other
it business analyst,PT XSIS MITRA UTAMA - Recruitment Center,Jakarta Raya,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,,2024-03-12,Full time,"Requirements :Bachelor degree from reputable university, majoring in Information Technology / Computer Science / Engineering or other relevant majors.Good Understanding of SDLC and its methodologies.Minimum 2 years as experience in complex system implementation, including project planning & tracking, requirement gathering, impact assessment & analysis, translate business/finance requirement to system logic, testing, & documentationExcellent knowledge of database design, process flow diagram & query languageBasic understanding of programming logic to liaise with engineering counterparts. Ability to read code to investigate bugs or identify changes needed in a project.Excellent communication and stakeholder management skillsEnglish proficiency is a must both in written and verbal.Experience with a technology company, startup or consulting desired.Must understand common technology for custom and packaged applications.Knowledge and experience in financial reporting and accounting practices is a plus. Job Descriptions :Assess and gather the requirements for the client's automation (report creation, data ingestion, data normalization automation etc.)Develop the configuration in the Client’s system (normalizer)Develop the reconciliation between reports using Client’s system (ECI Recon Tools and Spot Check)Develop report generation automation (QS Visualization) 5. Identify gaps in the current Client's system functionality and design the solution.Perform the testing.Support the UAT with the user.Create the functional documentation e.g., Requirement Document, PDD, etc.",https://www.jobstreet.co.id/id/job/74381624?type=standout&ref=search-standalone,74381624,DATA
implementation & system support consultant（financial module/ logistics module）,Hand International Pte. Ltd.,Jakarta Pusat,,Teknologi Informasi & Komunikasi,Manajemen Program & Proyek,,2024-03-15,Kontrak,"(HAND will provide you 1-2 month technical training course after joining HAND, serving as your probation period.) Job DescriptionMainly engaged in SAP ERP software implementation and maintenance, plan and design information system technology solutions according to business needs, and carry out implementation, maintenance, optimization and system management in teamwork.  Job RequirementsBachelor degree or above degree.Fresh graduate welcome to applyMajor in computer related majors such as software engineering, information management and information system.Be proficient in English.For Financial Module Consultant, accounting related knowledge required. Bring your demo works, Graduation Projects, or anything software-related projects to do the presentation, no matter what major in your college, but you are interested in the software industry. Please submit your cv to link below :https://forms.gle/ji5TC5SAgGLQPxPz8",https://www.jobstreet.co.id/id/job/74458698?type=standout&ref=search-standalone,74458698,PHP
business process staff,PT Internusa Jayaabadi Sentosa,Jakarta Selatan,,Konsultasi & Strategi,Strategi & Perencanaan,"Business Process, Business Analyst, Standard Operational Procedure",2024-03-13,Kontrak,"Internusa Jayaabadi Sentosa (IJS) serves various companies with various types of core businesses that are developing and is currently looking for Business Process Staff with the qualifications and job details below: Qualifications:Candidate must possess at least Bachelor's Degree in Accounting, Information System or Industrial Engineering.At least 2 Years of working experience as Business Process/ Internal Auditor/ Compliance in corporate settings.Fluent in English both oral and written is a must.Understand and be able to make audit process & procedure (SOP).Have the ability to analyze financial and non-financial data.Detail, thorough, able to work in team, have commitment, integrity and professional.Willing to do business trip outside work location. Job Details:Carrying out work according to a predetermined timeline in accordance with the assignment priority scaleFollowing up on all assignments to clients, colleagues or superiorsEnsuring that the control points in the SOP have been properly placed to minimize the risks that will occurEnsuring there is no duplication of activities in business processesEnsuring that the SOP's that have process links are not interruptedConducting internal checks on the completeness of all Company proceduresConducting regular evaluation of SOP's that have been published Compensation – Benefits:Competitive Salary (Negotiable depend on qualifications)Festive Allowances (THR)Training & Development",https://www.jobstreet.co.id/id/job/74391336?type=standout&ref=search-standalone,74391336,Other
business development analyst,PT Serasi Autoraya (Member of Astra),Jakarta Utara,,Konsultasi & Strategi,Pengembangan Korporat,,2024-03-17,Full time,"Job Descriptions :Identify & analyze project opportunities with related stakeholdersConduct proof-of-concept study to verify the potential of selected project opportunity to enter next development phaseConduct detailed feasibility study of the approved concept to assess further the cost & benefit with more in-depth analysis & accuracyDevelop investment proposal (report & presentation) as inputs for management's strategic decisionMonitor the project execution of the approved investment proposal based on its approved budget, schedule & scope of workAssess major project/CapEx using investment decision toolsAdvises business units in developing strategic business plan for short & long termAdvise BoD for potential M&A transactions. Includes synergy assessment, preliminary due dilligence & indicative valuationDevelop new, leading-edge products from idea origination, research, up-to implementation Requirements :Candidate must possess at least bachelor degree in any major with min GPA 3.00 of 4.00At least 2 years of working experience in business/project development, project planning/control, or process developmentAbility to conduct basic project management & financial analysisGood communication in english & collaboration, ability to work cross functionsHaving growth mindset, eagerness to improve skills & knowledgePlacement in North Jakarta",https://www.jobstreet.co.id/id/job/74271819?type=standout&ref=search-standalone,74271819,DATA
junior business analyst,PT Perangkat Lunak Indonesia,Jakarta Pusat,"Rp5,250,000 – Rp6,500,000 per month",Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,"Competitive and net remuneration package, Medical & various operational reimbursements, Involved in software projects for high-profile clients",2024-03-17,Full time,"AGILIS Solutions, a software development service company, is looking for candidates for Junior Business Analyst position, who meet the following requirements:Candidate must possess at least SMK, Diploma, or Bachelor's Degree in Information System or equivalent fields.Required language(s): Bahasa Indonesia, EnglishInternship / equivalent working experience in the related field for this position (fresh graduates are welcomed).Good communication skill.Good analytical skills. Responsibilities:Conduct project meetings with project managers and end-users.Create software design documents for development team.Create project-related documents. Technical qualifications:Familiar in creating documentation / design document for software project.Familiar in Database Operations (at least SELECT query)Experienced in any programming language is an advantage.",https://www.jobstreet.co.id/id/job/74254221?type=standout&ref=search-standalone,74254221,DATA
system analyst,PT Ako Media Asia,Jakarta Barat,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,,2024-03-09,Full time,"As a System Analyst, you will play a key role in bridging the gap between business needs and technology solutions. You will analyze, design, and implement information systems that meet the business requirements of the organization. Collaborating with stakeholders, development teams, and other IT professionals, you will ensure the effective use of technology to enhance operational efficiency and support organizational goals.Responsibilities:• Gather business requirements from the client• Formulate business flow according to the requirements• Formulate application process based on business flow using common applicationdevelopment best practices• Translate highly technical specifications into clear non-technical requirements• Create a needed diagram, i.e. use case, sequence, and domain model as documentation basis used by both Business User and Development team• Bridging communication between Business User and Development Team on developmentrequirements• Create discussion with Development Team and Project Managers to get development effortand timeline• Work together with the development team to ensure the created product is in line withbusiness requirements• Manage product knowledge and integrate existing production processes with new businessrequirements• Conducting regular reviews of systems and generating reports on efficiencies andimprovement areas• Provide insights on data and application flow best practices to allow scalability,supportability, ease of maintenance, and system performance• Running training sessions and workshops on system processesQualification• Bachelor's degree in an information system or computer science.• Minimum 2 year of experience working as a system analyst or handling the sameresponsibilities.• Strong analytical skills• Attention to detail• Good teamwork and communication skill (written or verbally)• Knowledge of data modelling and data visualisation tools• Good adaptability and or flexibility in a software development context• Show good initiative to drive discussion• Working knowledge of software engineering process• Ability to work under pressure and to tight deadlines Apply now by submitting your CV or directly go to our website: salt.id/career for more opportunities!",https://www.jobstreet.co.id/id/job/74323253?type=standout&ref=search-standalone,74323253,DATA
business analyst,,Jakarta Timur,Rp8.000.000 – Rp11.000.000 per month,Konsultasi & Strategi,Analis,"Hybrid working, Extra annual leave, Rapid growth opportunities",2024-03-17,Full time,"By joining us, you'll be part of excellent team of agile and fast growing interior design and furnishing company. Your role as a Business Analyst is to provide market and product insight, hence pivotal to ensure achievement of business objectives.Job Description:Conduct research and deep analysis of our New Business Unit in related industry to understand business opportunities, challenges, customer insights and behaviors, product metrics, and latest market trend in the industry.Generate new ideas to improve operation process to drive optimization, and document it into standard operating procedures to the finest details.Proactively jump into operational situation that requires the right decision making.Prepare detailed business plans including cost benefit analysis based on financial model.Liaise with internal team to collect required data and align to accomplish assigned projects.Perform data collection from internal and external, clean and process the data to derive insight and recommendation.Prepare reports and presentations to communicate findings to stakeholders.Prepare presentation materials for internal and external purpose (teaser, proposals, pitch deck, etc.)Monitor the key metrics of the launched products.Requirements:At least a Bachelor’s degree in Business, Management, Product Design or related fields from top universitiesDeep understanding of the user / customer behavior and customer journeyStrong analytical and problem-solving skillsStrong willingness to learn and adapt to change quicklyAttention to detail, a fast-learner, self-driven and proactivePassionate in furniture and retail industryAbility to prioritize and manage multiple tasks in a dynamic environment with minimal direction.",https://www.jobstreet.co.id/id/job/74253101?type=standout&ref=search-standalone,74253101,DATA
finance analyst,,Jakarta Selatan,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,Kontrak,"Job Description:Analyze financial reports generated by the Management Information System (MIS) from all Unit/Region offices in Indonesia.Investigate the reasons behind fluctuations between actual performance and forecasting/budgeting.Prepare a work paper (worksheet) that includes a report on the results of the analysis.Evaluate the book closing process and ensure the preparation of accurate financial reports across all Unit/Region offices.Implement and monitor continuous improvement and control processes in the Finance & Accounting department.Willingness to participate in projects related to financial analysis and reporting functions.Requirement:Bachelor’s degree majoring in Accounting/Economics/Management/Business Administration.Have at least 2 years of working experience in the same field.Have strong analytical thinking.Proficient in basic accounting, journaling, and financial reports.",https://www.jobstreet.co.id/id/job/74277964?type=standout&ref=search-standalone,74277964,DATA
business analyst retail,JVS Group,Jakarta Selatan,,Pemasaran & Komunikasi,Penelitian & Analisis Pasar,"Data Analyst, Business Analyst, Statistika",2024-03-17,Full time,"Job Description :Melakukan pengumpulan dan pengolahan data Sales dan Barang di toko retail.Membuat Analisa perihal tren, pola, dan masalah berdasarkan data Sales dan Barang di toko retail.Membuat laporan harian, mingguan, dan bulanan kepada management berdasarkan Analisa data Sales dan Barang yang dibuat.Memberikan saran kepada management dalam membuat keputusan strategis berdasarkan Analisa data Sales dan Barang yang dibuat.Menghandle seluruh sosial media dan akun e-commerce toko retail. Job Specification :Pendidikan minimal Diploma Jurusan Statistika/Teknik Industri/Sistem Informatika/Matematika/.Memiliki pengalaman minimal 1 tahun (Fresh Graduate silahkan melamar).Mampu mengoperasikan Microsoft Office dan Visio.Terbiasa dalam pengolahan data Sales dan Barang.Memiliki kemampuan komunikasi yang baik.Memiliki ketertarikan di dunia retail, terkhusus di dalam retail vape.Bersedia bergabung cepat.",https://www.jobstreet.co.id/id/job/74229554?type=standout&ref=search-standalone,74229554,DATA
account management - data centre lead,Jones Lang LaSalle Property Consultants Pte Ltd,Jakarta Pusat,,Real Estat & Properti,Manajemen Badan Korporat & Fasilitas,,2024-03-17,Full time,"Strategy and Account ManagementEnsure that account plans are implemented and aligned with client objectives.Be accountable for the profit, loss and growth of the assigned portfolio of accounts.Work with the Account Management Enablement organization to implement the agreed account management practices.Be accountable for operational risk management and mitigation on the DC accounts in the portfolio.Work in tandem with DC Operations Vertical to ensure best engineering practices are implemented on the accounts and risk management support extended to the accountsClient Relationship ManagementProactively drive teams to prepare for all client renewals – striving for off market renewals all the time.Unlock opportunities for account growth and work with the account team and/or Sales organization to convert these opportunities.Work with the Sales team on new bids and presentations to achieve the Sales targets. Provide strategic guidance as well as support for bids, presentations and other similar support activities.Leverage external networks to further sales and business development efforts. Talent ManagementCreate a high-performing, integrated team who are committed to delivering exceptional client results.Ensure all accounts have a clear skill management plan particularly for personnel deployed directly in managing and operating critical spacesCritically analyze account managers’ performance (account based staff and “hosted” account staff) and build feedback into actionable development plans. Account Operations:Ensure Operational risk for all DC accounts in portfolio is effectively managed and mitigation measure reported outWork with the HR Business Partners on talent management programsWork with the Delivery Organization to drive operational excellence, efficiency initiatives, risk management and complianceWork towards best in class delivery keeping in view rapidly changing environment around work, workplace and technology.Maintain visibility over the operational compliances and certifications for all client sites; ensuring that appropriate actions are taken by account teams.Initiate strategies to achieve measurable improvements in energy consumption, in conjunction with the Engineering Manager.Develop and implement innovative programs and processes that reduce short- and long-term operating costs, increase productivity and increase revenue.Work together with site team, support a variety of critical business functions including financial, procurement, vendor management, contract management, transportation programs and general office services. Find innovative ways to streamline and enhance service delivery, while keeping an eye on the bottom line.As a project manager (medium level – data center), planning, organizing, and executing projects within the defined scope, timeline, and budget. Able to identify and managing project risks, resolving any issues or conflicts that may arise, and ensuring effective communication and collaboration among team members and stakeholders.Market Knowledge:Stay informed about the latest developments, trends, and regulations in the Indonesian data center market.Conduct regular market research to identify potential opportunities, emerging technologies, and best practices.Analyze competitor strategies and market dynamics to inform decision-making and maintain a competitive edge.Vendor Management:Develop and maintain relationships with local vendors specific to data center operations, such as power suppliers, HVAC contractors, security providers, and maintenance service companies.Negotiate service agreements, pricing, and contracts with vendors to ensure optimal service levels are maintained within budget.Manage vendor performance, conduct regular audits, and resolve any escalations or disputes.Compliance and Risk Management:Ensure compliance with all applicable regulations, standards, and certifications related to data center operations.Implement and maintain robust operation processes, security protocols, including access control, surveillance systems Emergency Operation procedures, and disaster recovery procedures.Conduct regular risk assessments, develop mitigation plans, and ensure business continuity in the event of emergencies or disruptions.Stakeholder Communication:Collaborate with internal stakeholders, such as IT teams, engineering teams, and business unit leaders, to align data center operations with organizational goals and strategies.Communicate effectively with senior management by providing regular updates on data center performance, key metrics, and any significant issues or developments.",https://www.jobstreet.co.id/id/job/74252081?type=standout&ref=search-standalone,74252081,DATA
data engineer,PT XSIS MITRA UTAMA - Recruitment Center,Jakarta Raya,,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi","SQL Server, TSQL, SSIS",2024-03-17,Full time,"Candidate must possess at least bachelor degree (Computer Science/IT related discipline)Min 2 years working experience as Data EngineerExperience with Java, Scala, and Python programming languagesFamiliar with SQL Server and TSQL (Query, Trigger, Store Procedure)Experience with technology of SSIS (ETL SSIS) and SSAS in SQL ServerMachine learning experience with Spark or similarCertified Data Engineers or Solution Architect in 1 or more Cloud Technologies (AWS, GCP, Azure)Ability to manage numerous requests concurrently and be able to prioritize and deliverGood communication skill & dynamic team player",https://www.jobstreet.co.id/id/job/74224389?type=standout&ref=search-standalone,74224389,DATA
