Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,og_period_salary,Compensation,og_salary_currency,Job ID,Job Category,Scraped Date
operator produksi,Pt Lintang Persada,Tangerang,5125000.0,Manufaktur Transportasi Logistik,Operator Mesin,Not Written,1 hari yang lalu,Kontrak,Persyaratan Usia Min Tahunpendidikan Sma K Sederajatpengalaman Non Pengalamansiap Kerj Shiftdapat Bekerja Secara Tim Maupun Individual Kewajiban Briefing Dan Mempersiapkan Material Mengoperasikan Mesin Setting Program Mesin Produksi Menjaga Produktivitas Menjaga Kualitas Produksi Memastikan Produk Ke Proses Selanjutnya Memelihara Media Kerja Bekerja Sesuai Target Membuat Laporan Produksi,https://www.jobstreet.co.id/id/job/74369185?type=standout&ref=search-standalone,month,not_written,IDR,74369185,MANUFACTURING,2024-03-13
packaging development unit head,Pt Mayora Indah Tbk,Jakarta Barat,not_written,Manufaktur Transportasi Logistik,Produksi Perencanaan Penjadwalan,Not Written,23 jam yang lalu,Full time,Qualifications Experienceusia Minimal Tahunpendidikan Minimal S Dari Semua Jurusanmemiliki Pengalaman Kerja Tahun Sebagai Packaging Developmentmemiliki Loyalitas Yang Tinggi Kepemimpinan Yang Baik Keterampilan Komunikasi Yang Baik Dan Daya Analisa Yang Baikmemiliki Pemahaman Yang Mendetail Dalam Packagingbersedia Penempatan Di Head Office Jakarta Barattasks Responsibilitiesmelakukan Explorasi Untuk Produk Baru Existing Dengan Memerhatikan Kebutuhan Produk Yang Dikemas Dan Proses Packing Di Pabrik Serta Memonitor Aktivitas Pengembangan Kemasan Sesuai Dengan Hasil Explorasi Agar Berjalan Tepat Waktu,https://www.jobstreet.co.id/id/job/74383391?type=standout&ref=search-standalone,not_written,not_written,not_written,74383391,IT,2024-03-13
technical executive electrical engineer,Pt Kao Indonesia,Karawang,not_written,Teknik,Teknik Elektro Elektronik,Multinational Company The Kao Way Philosophy,1 hari yang lalu,Full time,Task Responsibilities Able To Plan And Design An Engineering Matter Improve Existing Equipment Or Install New Equipment Production Machine And Other Facility Including Design Budgeting Scheduling And Controlling Stabilize Production Process Setting Maintenance Plan Able To Coordinate Project Team Support Maintenance Activities Qualification Experience Candidate Must Possess Only For Bachelor Degree S In Electrical Engineering Preferable Fresh Graduate Or Year Working Experience Familiar With Common Machine Mechanical Electrical Familiar With Pdca Circle And Kaizen Familiar With Safety Work Standard Basic Knowledge Of Iso Computer Literacy Ms Office Auto Cad Required Language S English Applicants Must Be Willing To Work In Karawang Have A Good Health Full Time Position Available,https://www.jobstreet.co.id/id/job/74381396?type=standout&ref=search-standalone,not_written,not_written,not_written,74381396,ENGINEERING,2024-03-13
koordinator driver talent management penempatan cikarang,Pt Rapi Trans Logistik Indonesia,Cikarang Selatan,not_written,Sumber Daya Manusia Perekrutan,Pengembangan Organisasi,Insentif Yang Menarik Kesempatan Untuk Mengembangkan Karir Ada Jenjang Karir,1 jam yang lalu,Full time,Koordinator Driver Talent Management Penempatan Cikarang Job Description Melakukan Rekrutmen Driver Sesuai Dengan Kebutuhan Perusahaanmemberikan Pelatihan Dan Pengembangan Kepada Para Drivermemantau Dan Mengevaluasi Kinerja Para Driver Untuk Sesuai Dengan Sop Yang Telah Diterapkanmengkoordinasikan Kesiapan Armada Kepada Drivermengelola Administrasi Yang Berkaitan Dengan Para Drivermemastikan Driver Menjaga Kelengkapan Atau Alat Pendukung Armadaberkoordinasi Dan Berkomunikasi Dengan Driver Jika Driver Mengalami Kendala Di Dalam Melakukan Tugasnyaberkoordinasi Dengan Bagian Terkait Seperti Operational Finance Accounting Dan Sales Kualifikasi D S Semua Jurusanpaham Alur Operasional Dan Dokumentasi Masuk Keluar Container Import Export Di Tanjung Priokmin Tahun Sebagai Driver Coordinator Di Perusahaan Transportasimemiliki Kemampuan Komunikasi Kepemimpinan Problem Solving Negosiasi Yang Baikbersedia Melakukan Perjalanan Dinas Dan Piket Kerja Weekendsmampu Bekerja Dengan Deadline Yang Ketat Dan Memenuhi Target Kinerja Yang Ditetapkanmemiliki Sim A Dan C,https://www.jobstreet.co.id/id/job/74408397?type=standout&ref=search-standalone,not_written,not_written,not_written,74408397,SOCIAL MEDIA,2024-03-13
finance accounting staff,Pt Temanceo Indonesia,Jakarta Barat,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,19 jam yang lalu,Full time,The Last Years Have Been Very Interesting For Us We Have Supported Many Companies To Grow Through Digital Transformation Our Integrated Business Software Have Helped Companies To Run Their Business Process More Efficiently While Our Digital Marketing Team Have Increased The Growth Of Their Brands And Most Importantly Their Revenue And Now We Wanted To Focus On Doing It On A Bigger Scale Helping Many More Companies To Grow Faster Therefore We Are Currently Looking For A Highly Motivated Result Oriented Persistent And Passionate Professional To Join Our Team To Fill The Below Position Finance Accounting Staff Responsibilities Perform Day To Day Accounting Finance Role Including Executing Any Kind Of Accounting Finance Operation And Tax Making L R Reports Balance Sheets Journalspost Journals In Accordance With The Chart Of Accountverify The Completeness Of The Documents Required For Financial Transactionsperforming Reconciliation Of Financial Data Preciselyreview And Manage Cashflowensuring Accounting Reports Are Completed On Timereconcile Bank Statementsrequirements Bachelor Degree S Preferably Accounting At Least Years Of Relevant Working Experience In Similar Fieldable To Operate Accounting Softwareadvanced Ms Excel Skills Including Vlookups Hlookups And Pivot Tableshonest Detail Oriented Good Analytical Skill And Can Work Under Pressure With Tight Deadlinesunderstand About Tax,https://www.jobstreet.co.id/id/job/74391621?type=standout&ref=search-standalone,not_written,not_written,not_written,74391621,FINANCE,2024-03-13
maintenance operator,Pt Cahaya Benteng Mas,Makassar,not_written,Manufaktur Transportasi Logistik,Operator Mesin,Bpjs Kesehatan Ketenagakerjaan Budaya Kerja Yang Nyaman Fasilitas Makanan,21 jam yang lalu,Kontrak,Pendidikan Smk Smaminimal Berpengalaman Tahun Pada Mesin Produksi Roofing Floordeck Reng Hollow Trussmemantau Dan Memastikan Pelaksanaan Preventive Maintenance Tepat Waktu Dan Terlaksana Sesuai Jadwalmengantisipasi Terjadinya Breakdown Maintenance Dan Melaksanakan Perbaikannyamonitoring Kelayakan Dan Penggunaan Listrik Mesin Produksi Kompresor Dan Gensetmelakukan Perawatan Secara Berkala Harian Mingguan Dan Bulanandomisili Makassar,https://www.jobstreet.co.id/id/job/74388434?type=standout&ref=search-standalone,not_written,not_written,not_written,74388434,IT,2024-03-13
staff accounting,Pt Duniatex Group,Jawa Tengah,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Career Acceleration Great Benefit Great Team,2 jam yang lalu,Full time,Requirements Age Maximum Yearscandidate Must Possess A Bachelor S Degree In Accounting With A Minimum Gpa Of At Least Years Of Working Experience As An Accounting Officer Preferably In Manufacturinggood Knowledge Of Costing And Proficient With Formulas In Microsoft Excelfamiliar With Sap Brevet A B Is A Pluswilling To Be Placed In Central Java And Yogyakarta Areas Job Responsibilities Responsible For Supporting Forecast Budgeting Process Business Decision Supportassist In Compiling Monthly Management Accounting Reporting And Forecast Analysisassist In Sales And Cost Analysis Reviewassist In Projects On Process Improvements And Business Control,https://www.jobstreet.co.id/id/job/74407727?type=standout&ref=search-standalone,not_written,not_written,not_written,74407727,FINANCE,2024-03-13
training development officer,Pt Astra Otoparts Tbk,Jakarta Utara,not_written,Sumber Daya Manusia Perekrutan,Pelatihan Pengembangan,Competitive Sallary Advance Development Program Fun Friendly Environment,23 jam yang lalu,Full time,Membuat Perencanaan Kegiatan Training Dalam Tahun Kedepan Untuk Perusahaan Menjalankan Dan Monitoring Kegiatan Training Tahunan Membuat Analisa Kebutuhan Training Untuk Karyawan Di Perusahaan Membuat Training Program Baru Sesuai Dengan Kebutuhan Perusahaan Dan Bisnis,https://www.jobstreet.co.id/id/job/74383953?type=standout&ref=search-standalone,not_written,not_written,not_written,74383953,IT,2024-03-13
staff admin,Pt Kurnia Kemilau Kencana Sakti,Kabupaten Bantul,2250000.0,Administrasi Dukungan Perkantoran,Asisten Administratif,Not Written,1 hari yang lalu,Full time,Tugas Dan Tanggung Jawab Membuat Sales Order Purchase Order Delivery Order Berhubungan Dengan Vendor Untuk Urusan Purchase Order Mengelola Dokumen Kantor Mengarsip Dan Merekap Data Yang Masuk Menyiapkan Dan Memastikan Segala Perlengkapan Dan Peralatan Kantor Membuat Laporan Secara Berkala Mengumpulkan Dan Menyusun Dokumen Invoice Dll Menbuat Jurnal Atas Operasionalkualifikasi Maksimal Berusia Tahun Pendidikan Lulusan S Akuntansi Minimum D Akuntansi Atau Yang Relevan Mempunyai Pengalaman Minimal Tahun Familiar Dengan Komputer Terutama Ms Office Dan Google Workspace Cepat Belajar Jujur Cekatan Teliti Berdisiplin Tinggi Berinisiatif Dan Bertanggung Jawab Mampu Bekerja Dibawah Tekanan Dan Dapat Bekerja Secara Individual Dan Dalam Tim,https://www.jobstreet.co.id/id/job/74321016?type=standout&ref=search-standalone,month,not_written,IDR,74321016,ADMINISTRATION,2024-03-13
executive assistant,Bahasa Bule,Bali,7000000.0,Administrasi Dukungan Perkantoran,Asisten Pribadi Asisten Eksekutif Sekretarial,Business Expansion Higher Growth For Salary Based On Performance Salary Is Negotiable Based On Your Performance After The Probation Period,23 jam yang lalu,Full time,About Ushi There We Re Looking For An Executive Assistant To Join Our Startup In Indonesia We Focus On Education Using Technology Currently I Own Bahasa Bule And We Re Starting A New School That S Going To Grow Quickly Because We Have All The Sources To Help Us Expand If You Re Excited About Education And Want To Work With A Lively Team We D Love To Hear From You Qualifications Experiencelancar Berbahasa Inggris Baik Berbicara Maupun Tulisan Bisa Multitasking Dan Terorganisir Pengalaman Sebagai Asisten Atau Dalam Peran Administratif Yang Relevan Lainnyakeahlian Dalam Ms Office Ms Excel Dan Ms Powerpoint Khususnya Keterampilan Manajemen Waktu Yang Sangat Baik Dan Kemampuan Untuk Memprioritaskan Pekerjaan Tasks Responsibilitiesmengelola Jadwal Termasuk Pertemuan Janji Temu Dan Perjalanan Dinas Eksekutif Menangani Tugas Kantor Seperti Mengarsipkan Dan Menghasilkan Laporan Menggunakan Berbagai Software Termasuk Spreadsheet Database Dan Perangkat Lunak Presentasi Untuk Menyiapkan Laporan Dan Dokumen Menjaga Komunikasi Yang Sopan Dan Profesional Melalui Telepon E Mail Dan Surat Memperbarui Dan Memelihara Kebijakan Dan Prosedur Kantor,https://www.jobstreet.co.id/id/job/74384198?type=standout&ref=search-standalone,month,not_written,IDR,74384198,ADMINISTRATION,2024-03-13
staff accounting,Perumahan Cipinang Indah,Jakarta Timur,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,1 hari yang lalu,Kasual,Dibutuhkan Staff Accounting Berdomisili Di Cipinang Indah Dan Sekitarnyausia Maksimal Tahunpendidikan Minimal S Akuntansimempunyai Brevet A Dan Bmahir Microsoft Officeyang Tidak Memenuhi Kriteria Diatas Tidak Akan Diproses Deskripsi Pekerjaan Input Data Transaksifilling Dokumen Transaksirekonsiliasi Bank Dan Akun Lainnyastock Opnamelapor Pajak Spt Masa Review Perpanjangan Dan Mengarsip Polis Asuransimonitor Berakhirnya Masa Sewa Dan Menyiapkan Kontrak Perpanjanganmenyiapkan Pembayaran Bpjs Dan Monitor Perubahan Data Pesertamengarsip Copy Sertifikat Imb Dan Dokumen Perizinan,https://www.jobstreet.co.id/id/job/74381285?type=standout&ref=search-standalone,not_written,not_written,not_written,74381285,FINANCE,2024-03-13
business process staff,Pt Internusa Jayaabadi Sentosa,Jakarta Selatan,not_written,Konsultasi Strategi,Strategi Perencanaan,Business Process Business Analyst Standard Operational Procedure,20 jam yang lalu,Kontrak,Internusa Jayaabadi Sentosa Ijs Serves Various Companies With Various Types Of Core Businesses That Are Developing And Is Currently Looking For Business Process Staff With The Qualifications And Job Details Below Qualifications Candidate Must Possess At Least Bachelor S Degree In Accounting Information System Or Industrial Engineering At Least Years Of Working Experience As Business Process Internal Auditor Compliance In Corporate Settings Fluent In English Both Oral And Written Is A Must Understand And Be Able To Make Audit Process Procedure Sop Have The Ability To Analyze Financial And Non Financial Data Detail Thorough Able To Work In Team Have Commitment Integrity And Professional Willing To Do Business Trip Outside Work Location Job Details Carrying Out Work According To A Predetermined Timeline In Accordance With The Assignment Priority Scalefollowing Up On All Assignments To Clients Colleagues Or Superiorsensuring That The Control Points In The Sop Have Been Properly Placed To Minimize The Risks That Will Occurensuring There Is No Duplication Of Activities In Business Processesensuring That The Sop S That Have Process Links Are Not Interruptedconducting Internal Checks On The Completeness Of All Company Proceduresconducting Regular Evaluation Of Sop S That Have Been Published Compensation Benefits Competitive Salary Negotiable Depend On Qualifications Festive Allowances Thr Training Development,https://www.jobstreet.co.id/id/job/74391336?type=standout&ref=search-standalone,not_written,not_written,not_written,74391336,Other,2024-03-13
junior it specialist,Pt Gunatronikatama Cipta Gasi,Jakarta Raya,7750000.0,Teknologi Informasi Komunikasi,Administrasi Jaringan Sistem,Not Written,21 jam yang lalu,Full time,Requirementsminimal Lulusan Smk Bidang Teknik Jaringanpengalaman Praktek Lapang Di Bidang Komputer Teknologi Informatika Akan Menjadi Nilai Tambah Pernah Memasang Perangkat Lunak Sistem Operasi Linux Atau Windows Atau Windows Server Perangkat Jaringan Mikrotik Dan Lainnya Job Descriptionmemberikan Support Teknis Kepada Pengguna Komputer Aplikasi Dan Jaringan Apabila Mengalami Kendalamonitor Dan Memelihara Perangkat Keras Komputer Laptop Thin Client Server Perangkat Keras Jaringan Dan Perangkat Lainnya Monitor Dan Memelihara Sistem Komputermonitor Dan Memelihara Jaringan Komputermembuat Laporan Berkala Harian Mingguan Bulanan Dan Bulanan Terkait Keamanan Dan Utilisasi Penggunaan Perangkat Komputertugas Tugas Khusus Dalam Rangka Pengembangan Kemampuan Teknis Dan Non Teknis,https://www.jobstreet.co.id/id/job/74387757?type=standout&ref=search-standalone,month,not_written,IDR,74387757,IT,2024-03-13
