Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID
BACKEND / FRONTEND DEVELOPER,PT ENAK SEKALI INDONESIA,Medan,Rp6.000.000 – Rp9.000.000 per month,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-24,Full time,"Back End Developer Requirements:-Candidate must possess at least Diploma, Bachelor Degree in computer science / Information Technology, Engineering (Computer/Telecommunication ) or equivalent in ReactJS-Fresh graduate are welcome to apply-Frameworks Laravel 8+-Object oriented programming-Design pattern (controller,service,request,resource)-Eloquent ORM-SQL best practice-Authenticated with passport and sanctum-Design database-Git-Critical thinking, problem solving-Clean code-REST API development-Ability to work independently or with a team Front End Developer Requirements:-Candidate must possess at least Diploma, Bachelor Degree in computer science / Information Technology, Engineering-Fresh graduate are welcome to apply-Slicing UI/UX design to code that will produce visual elements in our application-Writing clean code and SOLID principal-ES6-React Router Dom-React Query-Axios-Redux toolkit-Material UI-Experience interfacing with REST APIs and/or API Gateways-Ability to work independently or with a team  # Memiliki Team work effort # Kami memberikan benefit saham (esop) di perusahaan kami untuk kandidat yang tepat # Memiliki integritas kerja dan etos yang baik # Harus bersedia di tempatkan di Medan # Bersedia belajar di start up kami yang unik dan energetic",https://www.jobstreet.co.id/id/job/75376898?type=standard&ref=search-standalone,75376898
React Developer,PT Mediatama Indo Teknologi,Jakarta Timur,"Rp7,000,000 – Rp10,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-25,Full time,"Tanggung JawabMeninjau persyaratan aplikasi dan desain antarmuka.Mengembangkan dan mengimplementasikan komponen antarmuka pengguna yang responsif menggunakan konsep react.Menulis kode antarmuka aplikasi menggunakan JavaScript mengikuti alur kerja react.js.Memecahkan masalah perangkat lunak antarmuka dan melakukan debug kode aplikasi.Mengembangkan dan mengimplementasikan arsitektur front-end untuk mendukung konsep antarmuka pengguna.Memantau dan meningkatkan kinerja front-end.Mendokumentasikan perubahan aplikasi dan mengembangkan pembaruan.PersyaratanMemiliki gelar D3 atau S1 di bidang ilmu komputer, teknologi informasi, atau bidang serupa lebih diutamakan.Memiliki pengalaman mengembangkan aplikasi berbasis web atau mobile menggunakan React minimal 1 (satu) siklus pekerjaan.",https://www.jobstreet.co.id/id/job/75374451?type=standard&ref=search-standalone,75374451
WEB DEVELOPER,PT Module Intracs Yasatama,Cikarang Selatan,,Teknologi Informasi & Komunikasi,Pengembangan & Produksi Web,"Tunjangan Hari Raya, BPJS Kesehatan & Ketenagakerjaan, Jenjang Karir",2024-04-26,Kontrak,"Apakah anda seorang expertise dalam pengembangan WEB?Apakah anda tertarik membantu bisnis kami semakin berkembang dengan keahlian anda?Jadilah Web Developer kami di PT Module Intracs Yasatama hanya jika anda:Mahir bahasa pemrograman web PHP, VueJs/Laravel & PythonMenguasai bootstrap, html, css, javascript, dan jqueryMahir dalam HTML (AJAX, JSON, XML), VueJS dan JavaScript / jQueryTanggung jawab anda:Mengatur tata letak situs web, tombol, gambar, tautan internal, dan navigasi situs webMeningkatkan efisiensi dan fungsionalitas situs web sehingga dapat memberikan pengalaman terbaik kepada penggunaMenghidupkan konsep desain dengan Bahasa pemrograman HTML, CSS, dan JavaScriptMeningkatkan interaksi dengan situs web di berbagai browserMengimplementasikan desain pada situs web mobileMengelola alur kerja perangkat lunakMenguji kegunaan situs web dan memperbaiki bug sesegera mungkin agar pengguna tidak terganggu.Mengembangkan dan memelihara user interfaceMenyimpan data dan memastikan bahwa data ditampilkan dengan benar kepada target audiensBertanggung jawab untuk membuat fitur pemrosesan pembayaran dan menyimpan informasi tersebut dengan amanMenerapkan algoritma dan memecahkan masalah sistem websiteKualifikasi:Pendidikan D3/S1, Teknik Informatika/Design/MultimediaMemiliki pengalaman minimal 3 tahun dibidang Web DeveloperMahir bahasa pemrograman web PHP, VueJs/Laravel & PythonMenguasai bootstap, html, css, javascript, dan jqueryMahir dalam MySQL Database ServerMahir dalam HTML (AJAX, JSON, XML), VueJS dan JavaScript / jQueryBenefit :Monthly IncomeTunjangan Hari RayaBPJS Kesehatan & Tenaga KerjaOvertime dibayarkanHak-hak Karyawan dilaksanaknMemiliki kesempatan untuk belajar langsung dengan Pemimpin PerusahaanJenjang Karir Hanya jika anda memenuhi kriteria, ACTION sekarang juga!*)Nb:   Hanya kandidat yang sesuai dengan kualifikasi yang akan dihubungi lebih lanjut.",https://www.jobstreet.co.id/id/job/75406505?type=standout&ref=search-standalone,75406505
Senior Android Front End Developer,PT Link Word Technology,Jakarta Barat,Rp10.000.000 – Rp15.000.000 per month,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-26,Full time,"PT. Produk Keuangan Digital Tanggung jawab pekerjaan1. Berpartisipasi dalam pengembangan aplikasi Android dan menyelesaikan desain, pengkodean, dan pengujian modul sesuai kebutuhan2. Membantu tim dalam peninjauan kode, optimalisasi kinerja, dan pemecahan masalah3. Pelajari dan terapkan praktik pengembangan dan pola desain Android 4. Meneliti dan menguasai teknologi dan alat pengembangan Android terkini5. Bekerja sama dengan para pemimpin untuk mengembangkan proyek independen Syarat pekerjaan1. Minimal S1 di bidang komputer dengan keterampilan pemrograman Java yang solid dan pemahaman bahasa pemrograman Kotlin dan mampu berbahasa Inggris.2. Memiliki dasar yang kuat dalam Android dan mahir menggunakan empat komponen utama dan tata letak umum; memahami mekanisme penanganan pesan, OOM, dan ANR.3. Telah menggunakan kerangka pengembangan dan perpustakaan umum, seperti Retrofit, OKHttp, Glide, Rxjava, dll.4. Familiar dengan alat kontrol versi, seperti Git, dan memiliki keterampilan kolaborasi dan komunikasi tim yang baik.5. Mampu menyelesaikan tugas yang diberikan secara mandiri, mempunyai kemampuan memecahkan masalah dan memecahkan masalah, serta mampu dengan cepat memahami dan menyelesaikan masalah kode dan kesalahan pada aplikasi.6. Memahami dan menggunakan beberapa desain arsitektur umum Android, mvc, mvp, mvvm.7. Memahami teknologi baru terkait pengembangan Android, seperti coroutine, Jetpack, Flutter, dll. Ketentuan umum1. Miliki kemampuan komunikasi yang baik2. Bisa bekerja dengan tim3. Pendidikan minimal S1 Bidang Komputer/Informatika/Sistem Informasi",https://www.jobstreet.co.id/id/job/75431491?type=standout&ref=search-standalone,75431491
Javascript Developer,PT Intersolusi Teknologi Asia,Bandung,"Rp5,000,000 – Rp7,500,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-22,Full time,"Responsibilities:Your duties will include (but will not be limited to): Performing or directing website updates.Developing, maintaining and optimizing database driven web applications.Evaluating code to ensure it is valid, properly structured, meets standards and is compatible with browsers, devices or operating systems.Working under an Agile development methodology.Researching, learning and evaluating new software. Requirements:Candidate at least a Diploma / Bachelor's Degree, Engineering (Computer), Computer Science/Information Technology or any related fieldsMin. 1 years experience in Web development using Javascript Framekwork(s)Proficiency in Backend Development using NodeJS/ExpressJS/NestJS is a mustProficiency in Frontend Development using Angular/ReactJS/VueJS is a mustExperienced in using PostgreSQL and MongoDBStrong in English both verbal and writtenMust be able to work in a fast paced environmentKnowledgeable in REST protocol",https://www.jobstreet.co.id/id/job/75311015?type=standout&ref=search-standalone,75311015
Web Developer,PT Integrasi Logistik Cipta Solusi,Surabaya,"Rp5,500,000 – Rp8,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,"Programming, Developer",2024-04-26,Kontrak,"ILCS (Indonesia Logistics Community Service) was established by PT Pelindo II (Persero) or Indonesia Port Corporation (IPC), a leading SOEs in the port and telecommunications industry. ILCS is dedicated to increasing the competitiveness of the Indonesian logistics industry to be in line with developed countries. And we invite you to join with us become one of great talent to build a superportal in logistics process in Indonesia Requirements:Minimum Bachelor's Degree in Information Technology, Software Engineering, or related degrees.Required Skill(s): JavaScript, PHP, NodeJs, ReactJs, .Net, VueJsAt least 1-3 year experience in the same position.Ability to analytical thinking and strong logic.Good team work with a positive attitude.Passion to expand current knowledge and learn new skills.  Job Descriptions:Develop new web application or customize existing applicationLearn new technology when required in the process of application developmentProblem solving and working with team on a project",https://www.jobstreet.co.id/id/job/75405896?type=standout&ref=search-standalone,75405896
Web Programmer,PT MITRA MANUNGGAL MAHARDIKA,Kelapa Gading,,Teknologi Informasi & Komunikasi,Developer/Programmer,"Lingkungan kerja yang milenial, Jenjang karir yang baik",2024-04-25,Full time,"Requirements:Candidate must possess at least a Bachelor's Degree major in Information Technology or Information System. Min 2 years of working experience using PHP, Laravel framework, and MySQL at an advanced level Proficient knowledge in HTML, CSS, JavaScript, jQuery, and other front end technologies is a plus.Experience with RESTful Api, and Gitlab / Github in a business environmentFamiliar with publishing/hosting projects to productionAttention to detail and an analytical thinkingHaving a deep interest in technology and software development.  Job Description:Develop and build superior and innovative Web-based systems.Develop secure and functional web-based systems. Provide quality coding solutions for both simple systems and complex information or operating systems.Follow projects guidelines and be able to work as a team",https://www.jobstreet.co.id/id/job/75398797?type=standout&ref=search-standalone,75398797
FRONTEND 3D ANIMASI/BLENDER (MEDAN),PT ENAK SEKALI INDONESIA,Medan,Rp6.000.000 – Rp9.000.000 per month,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-29,Full time,"Memiliki pengalaman leadership sebagai Manager sebelumnya.Front End 3D Animasi/Blender1. Memiliki pengalaman dan pengetahuan dalam menggunakan perangkat lunak (3D Blender)2. Menguasai Substance Painter, Zbrush, Texturing dan Hand Painted (Stylized) merupakan nilai plus3. Familiar terhadap database SQL maupun NoSQL4. Lancar menggunakan Version Control Git5. Bisa membuat dokumentasi yang jelas dan mudah dipahami # Memiliki Team work effort# Kami memberikan benefit saham (esop) di perusahaan kami untuk kandidat yang tepat# Memiliki integritas kerja dan etos yang baik# Harus bersedia di tempatkan di Medan# Bersedia belajar di start up kami yang unik dan energetic# UI/UX experiences# 3D Artist Experiance Pertanyaan dari perusahaanLamaran kamu akan mencakup pertanyaan-pertanyaan berikut:• How many years' experience do you have as a Blender?• Berapa lama waktu yang kamu butuhkan untuk memberi tahu perusahaanmu saat ini?• Apakah kamu bersedia bekerja di luar jam kerja biasa saat dibutuhkan? (cth. akhir pekan, malam hari, hari libur nasional)• Apakah kamu bersedia berpindah lokasi untuk pekerjaan ini?",https://www.jobstreet.co.id/id/job/75461863?type=standard&ref=search-standalone,75461863
Frontend Mobile Developer,PT Insura Media Solusi (Jakarta),Jakarta Raya,"Rp9,333,333 – Rp14,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,"Garansi Gaji selalu tepat waktu, BPJS Kesehatan & TK / Medical Allowance, THR, Jatah Cuti, Fasiltas Laptop, dll",2024-04-22,Full time,"Hi Talent.INSURA memiliki kesempatan menarik posisi sebagai FRONTEND DEVELOPER (Web / Mobile apps).Kualifikasi :• Memiliki pengalaman 2 - 5+ Tahun di bidang FRONTEND (Web / Mobile)• Menguasai salah satu Frontend Programming (Java / Kotlin / Flutter / Swift / React / Angular / Vue, dll)• Memiliki pengalaman develop Website aplikasi ataupun Mobile Aplikasi• Menguasai untuk mengconsume API• Memahami SDLC Agile / Scrum• Jenjang pendidikan D3, S1, dst• Bersedia penempatan lokasi kerja di DKI JakartaINSURA memiliki beragam kerjasama dengan berbagai company (BUMN ataupun Swasta).(Apapun keahlian Anda di industri Informasi Technology, silahkan applty/terhubung dengan INSURA untuk mendapatkan informasi lebih lanjut).",https://www.jobstreet.co.id/id/job/75319632?type=standout&ref=search-standalone,75319632
Fullstack Developer,PT Indo Online Mitra Usaha (Vox Asia),Bandung,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-29,Full time,"“If you want to be involved in technically challenging, complex projects but avoid the corporate atmosphere, this is the place for you.” VOX core business is the development and integration of web application, for corporate and public sector clients, featuring a lot of big names. We develop applications in NET, PHP, ReactJS, including various Open Source software: Drupal, WordPress, Prestashop, Orchard… We are familiar with Owin, MVC 5, Entity Framework, Web API, AngularJS, SQL Server, MongoDB, Unit Testing, TDD, BDD. We do feature a whole DevOPS workflow to manage products lifecycle: Continuous Integration, Continuous Deployment, using TeamCity, Jenkins, Octopus, Ansible, and more. All those technologies are great, but only if we have the right person to deal with. We are looking for experienced and self-driven Fullstack Developers Your main responsibilitiesCoding applications features according to the business requirementsDelivering code in line with VOX Quality StandardsActively participating in technical discussions and meetingsParticipating as technical expert during meetings with colleaguesContributing in improving the product life-cycle management at VOXEnsuring the technological watch in your area of knowledge SkillsProfileIT Diploma or Bachelor’s Degree or experience equivalentMinimum 5 years working experienceProfessional curiosity and interest in the field of the technologies used, new technologies and evolutions in his sectorBusiness mindedStrong written & verbal communication skillsFluent in English (B2 EU level)Knowledge of programming languages outside his team technology area is a plus Technical SkillsExcellent knowledge of C#, Asp.NET Webforms, Asp.NET MVC, ASP.Net CoreExcellent Knowledge & Experience in ReactJSExperience in WEB.API, Web ServicesExcellent knowledge of LINQ, Entity framework, SQL, DapperKnowledge of Multi-Tiers architecture, SOLID patterns, Dependency injection, IoC, Clean CodeExperience with components like : Simple Injector, NInject, Automapper, NLog,... Following skills are a plusTDD / Unit testing, Continuous Integration, Teamcity, Powershell, Continous Deployment, Azure.Angular.js, Node.jsUmbraco, OrchardReporting (Cristal Report , Report Viewer)SignalRWPF",https://www.jobstreet.co.id/id/job/75472959?type=standard&ref=search-standalone,75472959
FRONT END DEVELOPER,PT Knitto Tekstil Indonesia,Bandung,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Kami mencari Front End Developer yang terampil dan bersemangat untuk bergabung dengan tim kamiTugas dan Tanggung Jawab:Membuat program web secara front end sesuai dengan kebutuhan perusahaanMemodifikasi dan memaintenance web secara front end sesuai dengan point of changes setelah post implementationMelakukan develop web terutama pada peningkatan fungsionalitasMenyelesaikan kebutuhan dari tim kerja atau direksi sesuai deadline yang ditentukanMengikuti tren teknologi/industri yang sedang berkembang dan menerapkan ke dalam operasi dan aktivitas.Kualifikasi:Pendidikan minimal D3/S1 di bidang Ilmu Komputer/Teknik InformatikaMinimal pengalaman kerja 6 bulan dalam pengembangan aplikasi berbasis mobile androidMempunyai analisa data dan logika yang kuatMemamahami Es6, React.js, React Hook, ContextMemahami Next Js, perbedaan Client Side Rendering/Server Side RenderingMemahami Scss, responsiveMenguasai React Native diutamakan",https://www.jobstreet.co.id/id/job/75252591?type=standard&ref=search-standalone,75252591
